idFattura,tipo,ragioneSociale,partitaIva,dataEmissione,dataScadenza,importoImponibile,importoIVA,importoTotale,statoPagamento
F001,emessa,Rossi Costruzioni Srl,02345678901,2026-01-10,2026-02-10,1500.0,330.0,1830.0,pagata
F002,ricevuta,Forniture Ufficio Spa,03456789012,2026-01-15,2026-02-15,800.0,176.0,976.0,pagata
F003,emessa,Bianchi & Associati,04567890123,2026-01-20,2026-02-20,2200.0,484.0,2684.0,pagata
F004,ricevuta,Tech Solutions Srl,05678901234,2026-02-01,2026-03-03,950.0,209.0,1159.0,pagata
F005,emessa,Gamma Impianti Srl,06789012345,2026-02-05,2026-03-07,3100.0,682.0,3782.0,pagata
F006,ricevuta,Delta Logistica Spa,07890123456,2026-02-10,2026-03-12,1200.0,264.0,1464.0,pagata
F007,emessa,Verdi Consulting,08901234567,2026-02-14,2026-03-16,4500.0,990.0,5490.0,pagata
F008,ricevuta,Alfa Servizi Srl,09012345678,2026-02-20,2026-03-22,670.0,147.4,817.4,pagata
F009,emessa,Marino & Figli Snc,01234567891,2026-03-01,2026-03-31,1800.0,396.0,2196.0,pagata
F010,ricevuta,Epsilon Energia Spa,02345678902,2026-03-05,2026-04-04,2300.0,506.0,2806.0,pagata
F011,emessa,Colombo Design Studio,03456789013,2026-03-10,2026-04-09,980.0,215.6,1195.6,pagata
F012,ricevuta,Zeta Materiali Edili,04567890124,2026-03-15,2026-04-14,5600.0,1232.0,6832.0,pagata
F013,emessa,Ferrari Trasporti Srl,05678901235,2026-03-20,2026-04-19,1350.0,297.0,1647.0,scaduta
F014,ricevuta,Omega Informatica Srl,06789012346,2026-03-22,2026-04-21,760.0,167.2,927.2,scaduta
F015,emessa,Luca Mancini Architetto,07890123457,2026-03-25,2026-04-24,2800.0,616.0,3416.0,scaduta
F016,ricevuta,Beta Telecomunicazioni,08901234568,2026-04-01,2026-04-30,1100.0,242.0,1342.0,in attesa
F017,emessa,Studio Legale Moretti,09012345679,2026-04-05,2026-05-05,3200.0,704.0,3904.0,in attesa
F018,ricevuta,Sigma Pulizie Srl,01234567892,2026-04-08,2026-05-08,480.0,105.6,585.6,in attesa
F019,emessa,Iota Web Agency,02345678903,2026-04-10,2026-05-10,1650.0,363.0,2013.0,in attesa
F020,ricevuta,Lambda Sicurezza Spa,03456789014,2026-04-12,2026-05-02,890.0,195.8,1085.8,in attesa
F021,emessa,Nu Consulenza Fiscale,04567890125,2026-04-15,2026-04-29,2100.0,462.0,2562.0,in attesa
F022,ricevuta,Xi Manutenzione Srl,05678901236,2026-04-17,2026-04-30,730.0,160.6,890.6,in attesa
F023,emessa,Omicron Catering Srl,06789012347,2026-04-19,2026-05-19,4200.0,924.0,5124.0,in attesa
F024,ricevuta,Pi Grafica & Stampa,07890123458,2026-04-21,2026-05-06,560.0,123.2,683.2,in attesa
F025,emessa,Rho Immobiliare Srl,08901234569,2026-04-23,2026-05-23,6800.0,1496.0,8296.0,in attesa
